"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Sub Event","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"50","2025-01-09 05:19:37.737190","controller","host","HCI_EVT","21","Rcvd Command Complete (Vendor Command 0x0153 [opcode 0xFD53])","","","0e:12","Command Complete","","0xfd53","0e","0a:00","","","","","","","","","","","","","","","","","","",""
"51","2025-01-09 05:19:37.737439","host","controller","HCI_CMD","4","Sent Read BD ADDR","Informational Parameters","Read BD ADDR","09:10","","","","09","","","","","","","","","","","","","","","","","","","",""
"52","2025-01-09 05:19:37.739685","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)","","","0e:0a","Command Complete","","Read BD ADDR","0e","b6:b1","","","","","","","","","","","","","","","","","","",""
"53","2025-01-09 05:19:37.741247","host","controller","HCI_CMD","5","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","","","","","","","","","","","","","","","","","","","",""
"54","2025-01-09 05:19:37.743438","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","ff:00","","","","","","","","","","","","","","","","","","",""
"55","2025-01-09 05:19:38.218573","host","controller","HCI_CMD","6","Sent LE Set Resolvable Private Address Timeout","LE Controller Commands","LE Set Resolvable Private Address Timeout","2e:20","","","","2e","","","","","","","","","","","","","","","","","","","",""
"56","2025-01-09 05:19:38.227175","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Resolvable Private Address Timeout)","","","0e:04","Command Complete","","LE Set Resolvable Private Address Timeout","0e","","","","","","","","","","","","","","","","","","","",""
"57","2025-01-09 05:19:38.227418","host","controller","HCI_CMD","6","Sent Write Default Link Policy Settings","Link Policy Commands","Write Default Link Policy Settings","0f:08","","","","0f","","","","","","","","","","","","","","","","","","","",""
"58","2025-01-09 05:19:38.233547","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Default Link Policy Settings)","","","0e:04","Command Complete","","Write Default Link Policy Settings","0e","","","","","","","","","","","","","","","","","","","",""
"59","2025-01-09 05:19:38.233849","host","controller","HCI_CMD","5","Sent Write Inquiry Mode","Host Controller & Baseband Commands","Write Inquiry Mode","45:0c","","","","45","","","","","","","","","","","","","","","","","","","",""
"60","2025-01-09 05:19:38.239779","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Mode)","","","0e:04","Command Complete","","Write Inquiry Mode","0e","","","","","","","","","","","","","","","","","","","",""
"61","2025-01-09 05:19:38.240059","host","controller","HCI_CMD","5","Sent Write Page Scan Type","Host Controller & Baseband Commands","Write Page Scan Type","47:0c","","","","47","","","","","","","","","","","","","","","","","","","",""
"62","2025-01-09 05:19:38.246120","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Scan Type)","","","0e:04","Command Complete","","Write Page Scan Type","0e","","","","","","","","","","","","","","","","","","","",""
"63","2025-01-09 05:19:38.246394","host","controller","HCI_CMD","5","Sent Write Inquiry Scan Type","Host Controller & Baseband Commands","Write Inquiry Scan Type","43:0c","","","","43","","","","","","","","","","","","","","","","","","","",""
"64","2025-01-09 05:19:38.252322","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Type)","","","0e:04","Command Complete","","Write Inquiry Scan Type","0e","","","","","","","","","","","","","","","","","","","",""
"65","2025-01-09 05:19:38.252640","host","controller","HCI_CMD","7","Sent Write Class of Device","Host Controller & Baseband Commands","Write Class of Device","24:0c","","","","24","","","","","","","","","","","","","","","","","","","",""
"66","2025-01-09 05:19:38.258745","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Class of Device)","","","0e:04","Command Complete","","Write Class of Device","0e","","","","","","","","","","","","","","","","","","","",""
"67","2025-01-09 05:19:38.259010","host","controller","HCI_CMD","6","Sent Write Page Timeout","Host Controller & Baseband Commands","Write Page Timeout","18:0c","","","","18","","","","","","","","","","","","","","","","","","","",""
"68","2025-01-09 05:19:38.264799","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Timeout)","","","0e:04","Command Complete","","Write Page Timeout","0e","","","","","","","","","","","","","","","","","","","",""
"69","2025-01-09 05:19:38.265046","host","controller","HCI_CMD","4","Sent Vendor Command 0x0153 (opcode 0xFD53)","Vendor-Specific Commands","0x153","53:fd","","","","53","","","","","","","","","","","","","","","","","","","",""
"70","2025-01-09 05:19:38.271020","controller","host","HCI_EVT","21","Rcvd Command Complete (Vendor Command 0x0153 [opcode 0xFD53])","","","0e:12","Command Complete","","0xfd53","0e","0a:00","","","","","","","","","","","","","","","","","","",""
"71","2025-01-09 05:19:38.271266","host","controller","HCI_CMD","4","Sent Read Local Name","Host Controller & Baseband Commands","Read Local Name","14:0c","","","","14","","","","","","","","","","","","","","","","","","","",""
"72","2025-01-09 05:19:38.277949","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","","0e:fc","Command Complete","","Read Local Name","0e","53:50","","","","","","","","","","","","","","","","","","",""
"73","2025-01-09 05:19:38.282041","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","03:03","","","","","","","","","","","","","","","","","","",""
"74","2025-01-09 05:19:38.291004","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"75","2025-01-09 05:19:38.291284","host","controller","HCI_CMD","252","Sent Change Local Name","Host Controller & Baseband Commands","Change Local Name","13:0c","","","","13","6f:20","","","","","","","","","","","","","","","","","","",""
"76","2025-01-09 05:19:38.297264","controller","host","HCI_EVT","7","Rcvd Command Complete (Change Local Name)","","","0e:04","Command Complete","","Change Local Name","0e","","","","","","","","","","","","","","","","","","","",""
"77","2025-01-09 05:19:38.297570","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"78","2025-01-09 05:19:38.303562","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"79","2025-01-09 05:19:38.303863","host","controller","HCI_CMD","4","Sent LE Rand","LE Controller Commands","LE Rand","18:20","","","","18","","","","","","","","","","","","","","","","","","","",""
"80","2025-01-09 05:19:38.309788","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)","","","0e:0c","Command Complete","","LE Rand","0e","73:fc","","","","","","","","","","","","","","","","","","",""
"81","2025-01-09 05:19:38.310066","host","controller","HCI_CMD","10","Sent LE Set Random Address","LE Controller Commands","LE Set Random Address","05:20","","","","05","79:12","","","","","","","","","","","","","","","","","","",""
"82","2025-01-09 05:19:38.316021","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Random Address)","","","0e:04","Command Complete","","LE Set Random Address","0e","","","","","","","","","","","","","","","","","","","",""
"83","2025-01-09 05:19:39.390579","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","","","","","","","","","","","","","","","","","","","",""
"84","2025-01-09 05:19:39.399844","controller","host","HCI_EVT","9","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:06","Command Complete","","0xfd57","0e","00:01","","","","","","","","","","","","","","","","","","",""
"85","2025-01-09 05:19:39.400110","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","aa:fe","","","","","","","","","","","","","","","","","","",""
"86","2025-01-09 05:19:39.406050","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","07:00","","","","","","","","","","","","","","","","","","",""
"87","2025-01-09 05:19:39.406302","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"88","2025-01-09 05:19:39.412392","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","01:00","","","","","","","","","","","","","","","","","","",""
"89","2025-01-09 05:19:39.413107","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","f6:ff","","","","","","","","","","","","","","","","","","",""
"90","2025-01-09 05:19:39.421018","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","07:00","","","","","","","","","","","","","","","","","","",""
"91","2025-01-09 05:19:39.421241","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"92","2025-01-09 05:19:39.427530","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","01:00","","","","","","","","","","","","","","","","","","",""
"93","2025-01-09 05:19:39.427785","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","2c:fe","","","","","","","","","","","","","","","","","","",""
"94","2025-01-09 05:19:39.433505","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","07:00","","","","","","","","","","","","","","","","","","",""
"95","2025-01-09 05:19:39.433804","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"96","2025-01-09 05:19:39.439993","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","","0xfd57","0e","01:00","","","","","","","","","","","","","","","","","","",""
"97","2025-01-09 05:19:39.440245","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","","41","01:c0","","","","","","","","","","","","","","","","","","",""
"98","2025-01-09 05:19:39.446048","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","","LE Set Extended Scan Parameters","0e","","","","","","","","","","","","","","","","","","","",""
"99","2025-01-09 05:19:39.446319","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"100","2025-01-09 05:19:39.452193","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","","LE Set Extended Scan Enable","0e","","","","","","","","","","","","","","","","","","","",""
"101","2025-01-09 05:19:39.452449","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"102","2025-01-09 05:19:39.458588","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","","LE Set Extended Scan Enable","0e","","","","","","","","","","","","","","","","","","","",""
"103","2025-01-09 05:19:39.458841","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","","41","01:a0","","","","","","","","","","","","","","","","","","",""
"104","2025-01-09 05:19:39.464864","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","","LE Set Extended Scan Parameters","0e","","","","","","","","","","","","","","","","","","","",""
"105","2025-01-09 05:19:39.465146","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"106","2025-01-09 05:19:39.471074","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","","LE Set Extended Scan Enable","0e","","","","","","","","","","","","","","","","","","","",""
"107","2025-01-09 05:19:39.881338","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"108","2025-01-09 05:19:42.358770","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"109","2025-01-09 05:19:45.410567","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"110","2025-01-09 05:19:45.413577","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","","LE Set Extended Scan Enable","0e","","","","","","","","","","","","","","","","","","","",""
"111","2025-01-09 05:19:45.417885","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"112","2025-01-09 05:19:45.426020","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","","LE Set Extended Scan Parameters","0e","","","","","","","","","","","","","","","","","","","",""
"113","2025-01-09 05:19:45.426295","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"114","2025-01-09 05:19:45.432256","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","","LE Set Extended Scan Enable","0e","","","","","","","","","","","","","","","","","","","",""
"115","2025-01-09 05:20:03.813158","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"116","2025-01-09 05:20:03.822324","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"117","2025-01-09 05:20:03.859082","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"118","2025-01-09 05:20:03.867475","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"119","2025-01-09 05:20:03.867777","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"120","2025-01-09 05:20:03.873468","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"121","2025-01-09 05:20:03.948166","host","controller","HCI_CMD","6","Sent Write Voice Setting","Host Controller & Baseband Commands","Write Voice Setting","26:0c","","","","26","","","","","","","","","","","","","","","","","","","",""
"122","2025-01-09 05:20:03.957178","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Voice Setting)","","","0e:04","Command Complete","","Write Voice Setting","0e","","","","","","","","","","","","","","","","","","","",""
"123","2025-01-09 05:20:03.957427","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"124","2025-01-09 05:20:03.963545","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"125","2025-01-09 05:20:03.963847","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"126","2025-01-09 05:20:03.969711","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","","Write Extended Inquiry Response","0e","","","","","","","","","","","","","","","","","","","",""
"127","2025-01-09 05:20:04.075775","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
